text_cleaned,text_tokens,text_stemmed,text_lemmatized,text_removal
aow p polisi tertipu,"['aow', 'p', 'polisi', 'tertipu']","['aow', 'p', 'polisi', 'tertipu']","['aow', 'p', 'polisi', 'tertipu']","['aow', 'p', 'polisi', 'tertipu']"
hadeuh polisi 62 krj nya apaanky bgini aja kewalahan,"['hadeuh', 'polisi', '62', 'krj', 'nya', 'apaanky', 'bgini', 'aja', 'kewalahan']","['hadeuh', 'polisi', '62', 'krj', 'nya', 'apaanki', 'bgini', 'aja', 'kewalahan']","['hadeuh', 'polisi', '62', 'krj', 'nya', 'apaanki', 'bgini', 'aja', 'kewalahan']","['hadeuh', 'polisi', '62', 'krj', 'nya', 'apaanki', 'bgini', 'aja', 'kewalahan']"
tukang sadap hp lwat wa nyolongan buat dijual komuniti engineer vendor proyek tujuan momopoli bejorka klo versi tradisional hacker jin dukun da di semua agamis tujuan nyolong mempertahankan status orkay menangan proyek bejorkun,"['tukang', 'sadap', 'hp', 'lwat', 'wa', 'nyolongan', 'buat', 'dijual', 'komuniti', 'engineer', 'vendor', 'proyek', 'tujuan', 'momopoli', 'bejorka', 'klo', 'versi', 'tradisional', 'hacker', 'jin', 'dukun', 'da', 'di', 'semua', 'agamis', 'tujuan', 'nyolong', 'mempertahankan', 'status', 'orkay', 'menangan', 'proyek', 'bejorkun']","['tukang', 'sadap', 'hp', 'lwat', 'wa', 'nyolongan', 'buat', 'dijual', 'komun', 'engin', 'vendor', 'proyek', 'tujuan', 'momopoli', 'bejorka', 'klo', 'versi', 'tradision', 'hacker', 'jin', 'dukun', 'da', 'di', 'semua', 'agami', 'tujuan', 'nyolong', 'mempertahankan', 'statu', 'orkay', 'menangan', 'proyek', 'bejorkun']","['tukang', 'sadap', 'hp', 'lwat', 'wa', 'nyolongan', 'buat', 'dijual', 'komun', 'engin', 'vendor', 'proyek', 'tujuan', 'momopoli', 'bejorka', 'klo', 'versi', 'tradision', 'hacker', 'jin', 'dukun', 'da', 'di', 'semua', 'agami', 'tujuan', 'nyolong', 'mempertahankan', 'statu', 'orkay', 'menangan', 'proyek', 'bejorkun']","['tukang', 'sadap', 'hp', 'lwat', 'wa', 'nyolongan', 'dijual', 'komun', 'engin', 'vendor', 'proyek', 'tujuan', 'momopoli', 'bejorka', 'klo', 'versi', 'tradision', 'hacker', 'jin', 'dukun', 'da', 'agami', 'tujuan', 'nyolong', 'mempertahankan', 'statu', 'orkay', 'menangan', 'proyek', 'bejorkun']"
1750 sindiran keras wkwkw,"['1750', 'sindiran', 'keras', 'wkwkw']","['1750', 'sindiran', 'kera', 'wkwkw']","['1750', 'sindiran', 'kera', 'wkwkw']","['1750', 'sindiran', 'kera', 'wkwkw']"
10 tahun revolusi mental pemerintah hasilnya apa orang kalo udh biasa jorok yaa di tempatin di mana aja tetep bakalan jorokjustru akan aneh buat mereka kalo hidup di tempat yg bersih emang udh paling bener bubarin buat baru lagi dr 0sapu sebagus apapun gakan berguna sama org bodohbukan buat nyapu malah buat mukul,"['10', 'tahun', 'revolusi', 'mental', 'pemerintah', 'hasilnya', 'apa', 'orang', 'kalo', 'udh', 'biasa', 'jorok', 'yaa', 'di', 'tempatin', 'di', 'mana', 'aja', 'tetep', 'bakalan', 'jorokjustru', 'akan', 'aneh', 'buat', 'mereka', 'kalo', 'hidup', 'di', 'tempat', 'yg', 'bersih', 'emang', 'udh', 'paling', 'bener', 'bubarin', 'buat', 'baru', 'lagi', 'dr', '0sapu', 'sebagus', 'apapun', 'gakan', 'berguna', 'sama', 'org', 'bodohbukan', 'buat', 'nyapu', 'malah', 'buat', 'mukul']","['10', 'tahun', 'revolusi', 'mental', 'pemerintah', 'hasilnya', 'apa', 'orang', 'kalo', 'udh', 'biasa', 'jorok', 'yaa', 'di', 'tempatin', 'di', 'mana', 'aja', 'tetep', 'bakalan', 'jorokjustru', 'akan', 'aneh', 'buat', 'mereka', 'kalo', 'hidup', 'di', 'tempat', 'yg', 'bersih', 'emang', 'udh', 'pale', 'bener', 'bubarin', 'buat', 'baru', 'lagi', 'dr', '0sapu', 'sebagu', 'apapun', 'gakan', 'berguna', 'sama', 'org', 'bodohbukan', 'buat', 'nyapu', 'malah', 'buat', 'mukul']","['10', 'tahun', 'revolusi', 'mental', 'pemerintah', 'hasilnya', 'apa', 'orang', 'kalo', 'udh', 'biasa', 'jorok', 'yaa', 'di', 'tempatin', 'di', 'mana', 'aja', 'tetep', 'bakalan', 'jorokjustru', 'akan', 'aneh', 'buat', 'mereka', 'kalo', 'hidup', 'di', 'tempat', 'yg', 'bersih', 'emang', 'udh', 'pale', 'bener', 'bubarin', 'buat', 'baru', 'lagi', 'dr', '0sapu', 'sebagu', 'apapun', 'gakan', 'berguna', 'sama', 'org', 'bodohbukan', 'buat', 'nyapu', 'malah', 'buat', 'mukul']","['10', 'revolusi', 'mental', 'pemerintah', 'hasilnya', 'orang', 'kalo', 'udh', 'jorok', 'yaa', 'tempatin', 'aja', 'tetep', 'jorokjustru', 'aneh', 'kalo', 'hidup', 'yg', 'bersih', 'emang', 'udh', 'pale', 'bener', 'bubarin', 'dr', '0sapu', 'sebagu', 'apapun', 'gakan', 'berguna', 'org', 'bodohbukan', 'nyapu', 'mukul']"
ini baik untuk bjorka kerna bisa bikin nama baruwkwkwk,"['ini', 'baik', 'untuk', 'bjorka', 'kerna', 'bisa', 'bikin', 'nama', 'baruwkwkwk']","['ini', 'baik', 'untuk', 'bjorka', 'kerna', 'bisa', 'bikin', 'nama', 'baruwkwkwk']","['ini', 'baik', 'untuk', 'bjorka', 'kerna', 'bisa', 'bikin', 'nama', 'baruwkwkwk']","['bjorka', 'kerna', 'bikin', 'nama', 'baruwkwkwk']"
polri hebatttt luar biasa klarifikasi lagi nicepe deh,"['polri', 'hebatttt', 'luar', 'biasa', 'klarifikasi', 'lagi', 'nicepe', 'deh']","['polri', 'hebatttt', 'luar', 'biasa', 'klarifikasi', 'lagi', 'nicep', 'deh']","['polri', 'hebatttt', 'luar', 'biasa', 'klarifikasi', 'lagi', 'nicep', 'deh']","['polri', 'hebatttt', 'klarifikasi', 'nicep', 'deh']"
dari bicara abang ini sangat hati2 dalam berbicara takut salah jawab dan terlalu banyak ilmunya tentang hack sepertinya,"['dari', 'bicara', 'abang', 'ini', 'sangat', 'hati2', 'dalam', 'berbicara', 'takut', 'salah', 'jawab', 'dan', 'terlalu', 'banyak', 'ilmunya', 'tentang', 'hack', 'sepertinya']","['dari', 'bicara', 'abang', 'ini', 'sangat', 'hati2', 'dalam', 'berbicara', 'takut', 'salah', 'jawab', 'dan', 'terlalu', 'banyak', 'ilmunya', 'tentang', 'hack', 'sepertinya']","['dari', 'bicara', 'abang', 'ini', 'sangat', 'hati2', 'dalam', 'berbicara', 'takut', 'salah', 'jawab', 'dan', 'terlalu', 'banyak', 'ilmunya', 'tentang', 'hack', 'sepertinya']","['bicara', 'abang', 'hati2', 'berbicara', 'takut', 'salah', 'ilmunya', 'hack']"
biar tambah turun intansinya ya wkwk,"['biar', 'tambah', 'turun', 'intansinya', 'ya', 'wkwk']","['biar', 'tambah', 'turun', 'intansinya', 'ya', 'wkwk']","['biar', 'tambah', 'turun', 'intansinya', 'ya', 'wkwk']","['biar', 'turun', 'intansinya', 'ya', 'wkwk']"
menit ke 46 fufufifa detected,"['menit', 'ke', '46', 'fufufifa', 'detected']","['menit', 'ke', '46', 'fufufifa', 'detect']","['menit', 'ke', '46', 'fufufifa', 'detect']","['menit', '46', 'fufufifa', 'detect']"
bjirrrkaa yg di tangkep kerjaan nya emg ngawurr asal tangkep ajhh demi pngin di sanjung di blng krja,"['bjirrrkaa', 'yg', 'di', 'tangkep', 'kerjaan', 'nya', 'emg', 'ngawurr', 'asal', 'tangkep', 'ajhh', 'demi', 'pngin', 'di', 'sanjung', 'di', 'blng', 'krja']","['bjirrrkaa', 'yg', 'di', 'tangkep', 'kerjaan', 'nya', 'emg', 'ngawurr', 'asal', 'tangkep', 'ajhh', 'demi', 'pngin', 'di', 'sanjung', 'di', 'blng', 'krja']","['bjirrrkaa', 'yg', 'di', 'tangkep', 'kerjaan', 'nya', 'emg', 'ngawurr', 'asal', 'tangkep', 'ajhh', 'demi', 'pngin', 'di', 'sanjung', 'di', 'blng', 'krja']","['bjirrrkaa', 'yg', 'tangkep', 'kerjaan', 'nya', 'emg', 'ngawurr', 'tangkep', 'ajhh', 'pngin', 'sanjung', 'blng', 'krja']"
pengalihan isu biar isu pertama terlupakan,"['pengalihan', 'isu', 'biar', 'isu', 'pertama', 'terlupakan']","['pengalihan', 'isu', 'biar', 'isu', 'pertama', 'terlupakan']","['pengalihan', 'isu', 'biar', 'isu', 'pertama', 'terlupakan']","['pengalihan', 'isu', 'biar', 'isu', 'terlupakan']"
kualitas polriintelizen konoha _hanya mampu melakukan jumantik memberantas jentik nyamuk selebihnya cari cuan laah_ apasih bukti keberhasilan polri preeettt,"['kualitas', 'polriintelizen', 'konoha', '_hanya', 'mampu', 'melakukan', 'jumantik', 'memberantas', 'jentik', 'nyamuk', 'selebihnya', 'cari', 'cuan', 'laah_', 'apasih', 'bukti', 'keberhasilan', 'polri', 'preeettt']","['kualita', 'polriintelizen', 'konoha', '_hanya', 'mampu', 'melakukan', 'jumantik', 'memberanta', 'jentik', 'nyamuk', 'selebihnya', 'cari', 'cuan', 'laah_', 'apasih', 'bukti', 'keberhasilan', 'polri', 'preeettt']","['kualita', 'polriintelizen', 'konoha', '_hanya', 'mampu', 'melakukan', 'jumantik', 'memberanta', 'jentik', 'nyamuk', 'selebihnya', 'cari', 'cuan', 'laah_', 'apasih', 'bukti', 'keberhasilan', 'polri', 'preeettt']","['kualita', 'polriintelizen', 'konoha', '_hanya', 'jumantik', 'memberanta', 'jentik', 'nyamuk', 'selebihnya', 'cari', 'cuan', 'laah_', 'apasih', 'bukti', 'keberhasilan', 'polri', 'preeettt']"
justru buat polisi mikircyber mereka lemah,"['justru', 'buat', 'polisi', 'mikircyber', 'mereka', 'lemah']","['justru', 'buat', 'polisi', 'mikircyb', 'mereka', 'lemah']","['justru', 'buat', 'polisi', 'mikircyb', 'mereka', 'lemah']","['polisi', 'mikircyb', 'lemah']"
hai,['hai'],['hai'],['hai'],['hai']
polisi pikir rakyat bodoh hahahhah polisi memalukan sekali,"['polisi', 'pikir', 'rakyat', 'bodoh', 'hahahhah', 'polisi', 'memalukan', 'sekali']","['polisi', 'pikir', 'rakyat', 'bodoh', 'hahahhah', 'polisi', 'memalukan', 'sekali']","['polisi', 'pikir', 'rakyat', 'bodoh', 'hahahhah', 'polisi', 'memalukan', 'sekali']","['polisi', 'pikir', 'rakyat', 'bodoh', 'hahahhah', 'polisi', 'memalukan']"
gegabah sih,"['gegabah', 'sih']","['gegabah', 'sih']","['gegabah', 'sih']","['gegabah', 'sih']"
gw yakin bjorka nonton vid ini sambil makan indomie,"['gw', 'yakin', 'bjorka', 'nonton', 'vid', 'ini', 'sambil', 'makan', 'indomie']","['gw', 'yakin', 'bjorka', 'nonton', 'vid', 'ini', 'sambil', 'makan', 'indomi']","['gw', 'yakin', 'bjorka', 'nonton', 'vid', 'ini', 'sambil', 'makan', 'indomi']","['gw', 'bjorka', 'nonton', 'vid', 'makan', 'indomi']"
mungkin aja ya ini yg ditangkep ngaku bjorka tuh paling dia buat pancingan biar si bjorka yg asli munculini menurut gua aja siimon maap ya sekali lagi ini menurut gua aja nbbtw ini akun istri gua yatpi yg ngetik gua,"['mungkin', 'aja', 'ya', 'ini', 'yg', 'ditangkep', 'ngaku', 'bjorka', 'tuh', 'paling', 'dia', 'buat', 'pancingan', 'biar', 'si', 'bjorka', 'yg', 'asli', 'munculini', 'menurut', 'gua', 'aja', 'siimon', 'maap', 'ya', 'sekali', 'lagi', 'ini', 'menurut', 'gua', 'aja', 'nbbtw', 'ini', 'akun', 'istri', 'gua', 'yatpi', 'yg', 'ngetik', 'gua']","['mungkin', 'aja', 'ya', 'ini', 'yg', 'ditangkep', 'ngaku', 'bjorka', 'tuh', 'pale', 'dia', 'buat', 'pancingan', 'biar', 'si', 'bjorka', 'yg', 'asli', 'munculini', 'menurut', 'gua', 'aja', 'siimon', 'maap', 'ya', 'sekali', 'lagi', 'ini', 'menurut', 'gua', 'aja', 'nbbtw', 'ini', 'akun', 'istri', 'gua', 'yatpi', 'yg', 'ngetik', 'gua']","['mungkin', 'aja', 'ya', 'ini', 'yg', 'ditangkep', 'ngaku', 'bjorka', 'tuh', 'pale', 'dia', 'buat', 'pancingan', 'biar', 'si', 'bjorka', 'yg', 'asli', 'munculini', 'menurut', 'gua', 'aja', 'siimon', 'maap', 'ya', 'sekali', 'lagi', 'ini', 'menurut', 'gua', 'aja', 'nbbtw', 'ini', 'akun', 'istri', 'gua', 'yatpi', 'yg', 'ngetik', 'gua']","['aja', 'ya', 'yg', 'ditangkep', 'ngaku', 'bjorka', 'tuh', 'pale', 'pancingan', 'biar', 'si', 'bjorka', 'yg', 'asli', 'munculini', 'gua', 'aja', 'siimon', 'maap', 'ya', 'gua', 'aja', 'nbbtw', 'akun', 'istri', 'gua', 'yatpi', 'yg', 'ngetik', 'gua']"
jangan jangan biorka nonton podcast ini,"['jangan', 'jangan', 'biorka', 'nonton', 'podcast', 'ini']","['jangan', 'jangan', 'biorka', 'nonton', 'podcast', 'ini']","['jangan', 'jangan', 'biorka', 'nonton', 'podcast', 'ini']","['biorka', 'nonton', 'podcast']"
no toxic,"['no', 'toxic']","['no', 'toxic']","['no', 'toxic']","['no', 'toxic']"
udh tau lemah pemerintah malah sok2an mau bikin sertifikat tanah elektronik gawat,"['udh', 'tau', 'lemah', 'pemerintah', 'malah', 'sok2an', 'mau', 'bikin', 'sertifikat', 'tanah', 'elektronik', 'gawat']","['udh', 'tau', 'lemah', 'pemerintah', 'malah', 'sok2an', 'mau', 'bikin', 'sertifikat', 'tanah', 'elektronik', 'gawat']","['udh', 'tau', 'lemah', 'pemerintah', 'malah', 'sok2an', 'mau', 'bikin', 'sertifikat', 'tanah', 'elektronik', 'gawat']","['udh', 'tau', 'lemah', 'pemerintah', 'sok2an', 'bikin', 'sertifikat', 'tanah', 'elektronik', 'gawat']"
gila sih 𝕋𝕂ℙ𝟛𝟘𝟛 udah kayak fenomena baru,"['gila', 'sih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'udah', 'kayak', 'fenomena', 'baru']","['gila', 'sih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'udah', 'kayak', 'fenomena', 'baru']","['gila', 'sih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'udah', 'kayak', 'fenomena', 'baru']","['gila', 'sih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'udah', 'kayak', 'fenomena']"
𝕋𝕂ℙ𝟛𝟘𝟛 makin hari makin rame aja respect,"['𝕋𝕂ℙ𝟛𝟘𝟛', 'makin', 'hari', 'makin', 'rame', 'aja', 'respect']","['𝕋𝕂ℙ𝟛𝟘𝟛', 'makin', 'hari', 'makin', 'rame', 'aja', 'respect']","['𝕋𝕂ℙ𝟛𝟘𝟛', 'makin', 'hari', 'makin', 'rame', 'aja', 'respect']","['𝕋𝕂ℙ𝟛𝟘𝟛', 'rame', 'aja', 'respect']"
nan,['nan'],['nan'],['nan'],['nan']
kacau kalau polici dikadali bojorcawkwkw,"['kacau', 'kalau', 'polici', 'dikadali', 'bojorcawkwkw']","['kacau', 'kalau', 'polici', 'dikadali', 'bojorcawkwkw']","['kacau', 'kalau', 'polici', 'dikadali', 'bojorcawkwkw']","['kacau', 'polici', 'dikadali', 'bojorcawkwkw']"
anak punk,"['anak', 'punk']","['anak', 'punk']","['anak', 'punk']","['anak', 'punk']"
nih 𝕋𝕂ℙ𝟛𝟘𝟛 benerbener bikin penasaran,"['nih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'benerbener', 'bikin', 'penasaran']","['nih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'benerben', 'bikin', 'penasaran']","['nih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'benerben', 'bikin', 'penasaran']","['nih', '𝕋𝕂ℙ𝟛𝟘𝟛', 'benerben', 'bikin', 'penasaran']"
tiap liat komen ada aja yang bahas 𝕋𝕂ℙ𝟛𝟘𝟛 parah,"['tiap', 'liat', 'komen', 'ada', 'aja', 'yang', 'bahas', '𝕋𝕂ℙ𝟛𝟘𝟛', 'parah']","['tiap', 'liat', 'komen', 'ada', 'aja', 'yang', 'baha', '𝕋𝕂ℙ𝟛𝟘𝟛', 'parah']","['tiap', 'liat', 'komen', 'ada', 'aja', 'yang', 'baha', '𝕋𝕂ℙ𝟛𝟘𝟛', 'parah']","['liat', 'komen', 'aja', 'baha', '𝕋𝕂ℙ𝟛𝟘𝟛', 'parah']"
yang tau 𝕋𝕂ℙ𝟛𝟘𝟛 pasti ngerti hypenya kenapa tinggi,"['yang', 'tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'pasti', 'ngerti', 'hypenya', 'kenapa', 'tinggi']","['yang', 'tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'pasti', 'ngerti', 'hypenya', 'kenapa', 'tinggi']","['yang', 'tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'pasti', 'ngerti', 'hypenya', 'kenapa', 'tinggi']","['tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'ngerti', 'hypenya']"
ah mana mungkin polisi nangkep bjorka wong bandar judol di rugikan aja malah yg onoh jdi tersangka gara2 merugikan bandar judol itupun udah jelas org nya tpi malah dapat pembelaan bandar judol katanya mau berantas judol omon omon,"['ah', 'mana', 'mungkin', 'polisi', 'nangkep', 'bjorka', 'wong', 'bandar', 'judol', 'di', 'rugikan', 'aja', 'malah', 'yg', 'onoh', 'jdi', 'tersangka', 'gara2', 'merugikan', 'bandar', 'judol', 'itupun', 'udah', 'jelas', 'org', 'nya', 'tpi', 'malah', 'dapat', 'pembelaan', 'bandar', 'judol', 'katanya', 'mau', 'berantas', 'judol', 'omon', 'omon']","['ah', 'mana', 'mungkin', 'polisi', 'nangkep', 'bjorka', 'wong', 'bandar', 'judol', 'di', 'rugikan', 'aja', 'malah', 'yg', 'onoh', 'jdi', 'tersangka', 'gara2', 'merugikan', 'bandar', 'judol', 'itupun', 'udah', 'jela', 'org', 'nya', 'tpi', 'malah', 'dapat', 'pembelaan', 'bandar', 'judol', 'katanya', 'mau', 'beranta', 'judol', 'omon', 'omon']","['ah', 'mana', 'mungkin', 'polisi', 'nangkep', 'bjorka', 'wong', 'bandar', 'judol', 'di', 'rugikan', 'aja', 'malah', 'yg', 'onoh', 'jdi', 'tersangka', 'gara2', 'merugikan', 'bandar', 'judol', 'itupun', 'udah', 'jela', 'org', 'nya', 'tpi', 'malah', 'dapat', 'pembelaan', 'bandar', 'judol', 'katanya', 'mau', 'beranta', 'judol', 'omon', 'omon']","['ah', 'polisi', 'nangkep', 'bjorka', 'bandar', 'judol', 'rugikan', 'aja', 'yg', 'onoh', 'jdi', 'tersangka', 'gara2', 'merugikan', 'bandar', 'judol', 'itupun', 'udah', 'jela', 'org', 'nya', 'tpi', 'pembelaan', 'bandar', 'judol', 'beranta', 'judol', 'omon', 'omon']"
cuma mau bilang 𝕋𝕂ℙ𝟛𝟘𝟛 emang beda kelas,"['cuma', 'mau', 'bilang', '𝕋𝕂ℙ𝟛𝟘𝟛', 'emang', 'beda', 'kelas']","['cuma', 'mau', 'bilang', '𝕋𝕂ℙ𝟛𝟘𝟛', 'emang', 'beda', 'kela']","['cuma', 'mau', 'bilang', '𝕋𝕂ℙ𝟛𝟘𝟛', 'emang', 'beda', 'kela']","['bilang', '𝕋𝕂ℙ𝟛𝟘𝟛', 'emang', 'beda', 'kela']"
baru tau 𝕋𝕂ℙ𝟛𝟘𝟛 segini rame ternyata worth it,"['baru', 'tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'segini', 'rame', 'ternyata', 'worth', 'it']","['baru', 'tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'segini', 'rame', 'ternyata', 'worth', 'it']","['baru', 'tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'segini', 'rame', 'ternyata', 'worth', 'it']","['tau', '𝕋𝕂ℙ𝟛𝟘𝟛', 'segini', 'rame', 'worth', 'it']"
kurang kerjaan nangkap bjorka mau semakin di musuhi rakyat rakyat lebih pro dengan bjorka dan damkar ketimbang plisi,"['kurang', 'kerjaan', 'nangkap', 'bjorka', 'mau', 'semakin', 'di', 'musuhi', 'rakyat', 'rakyat', 'lebih', 'pro', 'dengan', 'bjorka', 'dan', 'damkar', 'ketimbang', 'plisi']","['kurang', 'kerjaan', 'nangkap', 'bjorka', 'mau', 'semakin', 'di', 'musuhi', 'rakyat', 'rakyat', 'lebih', 'pro', 'dengan', 'bjorka', 'dan', 'damkar', 'ketimbang', 'plisi']","['kurang', 'kerjaan', 'nangkap', 'bjorka', 'mau', 'semakin', 'di', 'musuhi', 'rakyat', 'rakyat', 'lebih', 'pro', 'dengan', 'bjorka', 'dan', 'damkar', 'ketimbang', 'plisi']","['kerjaan', 'nangkap', 'bjorka', 'musuhi', 'rakyat', 'rakyat', 'pro', 'bjorka', 'damkar', 'ketimbang', 'plisi']"
hahahaha gada prestasi,"['hahahaha', 'gada', 'prestasi']","['hahahaha', 'gada', 'prestasi']","['hahahaha', 'gada', 'prestasi']","['hahahaha', 'gada', 'prestasi']"
orang kalimantan yang disebut itu satu daerah sama ane dan itu sebab mereka punya kemampuan tidak pernah difasilitasi negara,"['orang', 'kalimantan', 'yang', 'disebut', 'itu', 'satu', 'daerah', 'sama', 'ane', 'dan', 'itu', 'sebab', 'mereka', 'punya', 'kemampuan', 'tidak', 'pernah', 'difasilitasi', 'negara']","['orang', 'kalimantan', 'yang', 'disebut', 'itu', 'satu', 'daerah', 'sama', 'ane', 'dan', 'itu', 'sebab', 'mereka', 'punya', 'kemampuan', 'tidak', 'pernah', 'difasilitasi', 'negara']","['orang', 'kalimantan', 'yang', 'disebut', 'itu', 'satu', 'daerah', 'sama', 'ane', 'dan', 'itu', 'sebab', 'mereka', 'punya', 'kemampuan', 'tidak', 'pernah', 'difasilitasi', 'negara']","['orang', 'kalimantan', 'daerah', 'ane', 'kemampuan', 'difasilitasi', 'negara']"
nangkep bandar judol aja gk mampu gaya2an bisa nangkep bjorka,"['nangkep', 'bandar', 'judol', 'aja', 'gk', 'mampu', 'gaya2an', 'bisa', 'nangkep', 'bjorka']","['nangkep', 'bandar', 'judol', 'aja', 'gk', 'mampu', 'gaya2an', 'bisa', 'nangkep', 'bjorka']","['nangkep', 'bandar', 'judol', 'aja', 'gk', 'mampu', 'gaya2an', 'bisa', 'nangkep', 'bjorka']","['nangkep', 'bandar', 'judol', 'aja', 'gk', 'gaya2an', 'nangkep', 'bjorka']"
wakakakaka dari dulu jawara hacker jogja dari tahun 95sampai sekarang,"['wakakakaka', 'dari', 'dulu', 'jawara', 'hacker', 'jogja', 'dari', 'tahun', '95sampai', 'sekarang']","['wakakakaka', 'dari', 'dulu', 'jawara', 'hacker', 'jogja', 'dari', 'tahun', '95sampai', 'sekarang']","['wakakakaka', 'dari', 'dulu', 'jawara', 'hacker', 'jogja', 'dari', 'tahun', '95sampai', 'sekarang']","['wakakakaka', 'jawara', 'hacker', 'jogja', '95sampai']"
polisi itu emang gak tau malu ya gak di lapangan gk di dunia hacker jadi lelucon,"['polisi', 'itu', 'emang', 'gak', 'tau', 'malu', 'ya', 'gak', 'di', 'lapangan', 'gk', 'di', 'dunia', 'hacker', 'jadi', 'lelucon']","['polisi', 'itu', 'emang', 'gak', 'tau', 'malu', 'ya', 'gak', 'di', 'lapangan', 'gk', 'di', 'dunia', 'hacker', 'jadi', 'lelucon']","['polisi', 'itu', 'emang', 'gak', 'tau', 'malu', 'ya', 'gak', 'di', 'lapangan', 'gk', 'di', 'dunia', 'hacker', 'jadi', 'lelucon']","['polisi', 'emang', 'gak', 'tau', 'malu', 'ya', 'gak', 'lapangan', 'gk', 'dunia', 'hacker', 'lelucon']"
bjorka kenapa kamu nggak buka data polri yg berteman dg mafia²,"['bjorka', 'kenapa', 'kamu', 'nggak', 'buka', 'data', 'polri', 'yg', 'berteman', 'dg', 'mafia²']","['bjorka', 'kenapa', 'kamu', 'nggak', 'buka', 'data', 'polri', 'yg', 'berteman', 'dg', 'mafia²']","['bjorka', 'kenapa', 'kamu', 'nggak', 'buka', 'data', 'polri', 'yg', 'berteman', 'dg', 'mafia²']","['bjorka', 'nggak', 'buka', 'data', 'polri', 'yg', 'berteman', 'dg', 'mafia²']"
lawakk polisi,"['lawakk', 'polisi']","['lawakk', 'polisi']","['lawakk', 'polisi']","['lawakk', 'polisi']"
nangkep maling aja ga bener sok sokan nangkap hacker jir wkwkwk,"['nangkep', 'maling', 'aja', 'ga', 'bener', 'sok', 'sokan', 'nangkap', 'hacker', 'jir', 'wkwkwk']","['nangkep', 'male', 'aja', 'ga', 'bener', 'sok', 'sokan', 'nangkap', 'hacker', 'jir', 'wkwkwk']","['nangkep', 'male', 'aja', 'ga', 'bener', 'sok', 'sokan', 'nangkap', 'hacker', 'jir', 'wkwkwk']","['nangkep', 'male', 'aja', 'ga', 'bener', 'sok', 'sokan', 'nangkap', 'hacker', 'jir', 'wkwkwk']"
poleseh cocok jadi pelawak yang serius kwkkwkwkwkw,"['poleseh', 'cocok', 'jadi', 'pelawak', 'yang', 'serius', 'kwkkwkwkwkw']","['poleseh', 'cocok', 'jadi', 'pelawak', 'yang', 'seriu', 'kwkkwkwkwkw']","['poleseh', 'cocok', 'jadi', 'pelawak', 'yang', 'seriu', 'kwkkwkwkwkw']","['poleseh', 'cocok', 'pelawak', 'seriu', 'kwkkwkwkwkw']"
izin om gw jg ahli it yg sdh beberapa x memantau pergerakan bjorka ini termasuk yg ganas sih gw percaya yg di tangkap ini bukan dia dia kayak hantu sih sumbunyi nya di balik bayangan sendiri bahasa awamnya seperti itu,"['izin', 'om', 'gw', 'jg', 'ahli', 'it', 'yg', 'sdh', 'beberapa', 'x', 'memantau', 'pergerakan', 'bjorka', 'ini', 'termasuk', 'yg', 'ganas', 'sih', 'gw', 'percaya', 'yg', 'di', 'tangkap', 'ini', 'bukan', 'dia', 'dia', 'kayak', 'hantu', 'sih', 'sumbunyi', 'nya', 'di', 'balik', 'bayangan', 'sendiri', 'bahasa', 'awamnya', 'seperti', 'itu']","['izin', 'om', 'gw', 'jg', 'ahli', 'it', 'yg', 'sdh', 'beberapa', 'x', 'memantau', 'pergerakan', 'bjorka', 'ini', 'termasuk', 'yg', 'gana', 'sih', 'gw', 'percaya', 'yg', 'di', 'tangkap', 'ini', 'bukan', 'dia', 'dia', 'kayak', 'hantu', 'sih', 'sumbunyi', 'nya', 'di', 'balik', 'bayangan', 'sendiri', 'bahasa', 'awamnya', 'seperti', 'itu']","['izin', 'om', 'gw', 'jg', 'ahli', 'it', 'yg', 'sdh', 'beberapa', 'x', 'memantau', 'pergerakan', 'bjorka', 'ini', 'termasuk', 'yg', 'gana', 'sih', 'gw', 'percaya', 'yg', 'di', 'tangkap', 'ini', 'bukan', 'dia', 'dia', 'kayak', 'hantu', 'sih', 'sumbunyi', 'nya', 'di', 'balik', 'bayangan', 'sendiri', 'bahasa', 'awamnya', 'seperti', 'itu']","['izin', 'om', 'gw', 'jg', 'ahli', 'it', 'yg', 'sdh', 'x', 'memantau', 'pergerakan', 'bjorka', 'yg', 'gana', 'sih', 'gw', 'percaya', 'yg', 'tangkap', 'kayak', 'hantu', 'sih', 'sumbunyi', 'nya', 'bayangan', 'bahasa', 'awamnya']"
