text_cleaned,text_tokens,text_stemmed,text_lemmatized,text_removal
polisi tidak ada hargadirinya anjir,"['polisi', 'tidak', 'ada', 'hargadirinya', 'anjir']","['polisi', 'tidak', 'ada', 'hargadirinya', 'anjir']","['polisi', 'tidak', 'ada', 'hargadirinya', 'anjir']","['polisi', 'hargadirinya', 'anjir']"
bjorka ketangkap judol yang mudah kebaca ip nya aja males malesan ciduk nya eh ini laguan nyiduk hacker,"['bjorka', 'ketangkap', 'judol', 'yang', 'mudah', 'kebaca', 'ip', 'nya', 'aja', 'males', 'malesan', 'ciduk', 'nya', 'eh', 'ini', 'laguan', 'nyiduk', 'hacker']","['bjorka', 'ketangkap', 'judol', 'yang', 'mudah', 'kebaca', 'ip', 'nya', 'aja', 'male', 'malesan', 'ciduk', 'nya', 'eh', 'ini', 'laguan', 'nyiduk', 'hacker']","['bjorka', 'ketangkap', 'judol', 'yang', 'mudah', 'kebaca', 'ip', 'nya', 'aja', 'male', 'malesan', 'ciduk', 'nya', 'eh', 'ini', 'laguan', 'nyiduk', 'hacker']","['bjorka', 'ketangkap', 'judol', 'mudah', 'kebaca', 'ip', 'nya', 'aja', 'male', 'malesan', 'ciduk', 'nya', 'eh', 'laguan', 'nyiduk', 'hacker']"
software polri aja masih pake software yg kelas ecek ecek kok malah mau nangkep bjorka mimpi kali silahkan kalo bisa para intel wlw kerja di dpn komputer tip mlm gk bakal bisa ya menjebol software bjorka jgn mimpi deh,"['software', 'polri', 'aja', 'masih', 'pake', 'software', 'yg', 'kelas', 'ecek', 'ecek', 'kok', 'malah', 'mau', 'nangkep', 'bjorka', 'mimpi', 'kali', 'silahkan', 'kalo', 'bisa', 'para', 'intel', 'wlw', 'kerja', 'di', 'dpn', 'komputer', 'tip', 'mlm', 'gk', 'bakal', 'bisa', 'ya', 'menjebol', 'software', 'bjorka', 'jgn', 'mimpi', 'deh']","['softwar', 'polri', 'aja', 'masih', 'pake', 'softwar', 'yg', 'kela', 'ecek', 'ecek', 'kok', 'malah', 'mau', 'nangkep', 'bjorka', 'mimpi', 'kali', 'silahkan', 'kalo', 'bisa', 'para', 'intel', 'wlw', 'kerja', 'di', 'dpn', 'komput', 'tip', 'mlm', 'gk', 'bakal', 'bisa', 'ya', 'menjebol', 'softwar', 'bjorka', 'jgn', 'mimpi', 'deh']","['softwar', 'polri', 'aja', 'masih', 'pake', 'softwar', 'yg', 'kela', 'ecek', 'ecek', 'kok', 'malah', 'mau', 'nangkep', 'bjorka', 'mimpi', 'kali', 'silahkan', 'kalo', 'bisa', 'para', 'intel', 'wlw', 'kerja', 'di', 'dpn', 'komput', 'tip', 'mlm', 'gk', 'bakal', 'bisa', 'ya', 'menjebol', 'softwar', 'bjorka', 'jgn', 'mimpi', 'deh']","['softwar', 'polri', 'aja', 'pake', 'softwar', 'yg', 'kela', 'ecek', 'ecek', 'nangkep', 'bjorka', 'mimpi', 'kali', 'silahkan', 'kalo', 'intel', 'wlw', 'kerja', 'dpn', 'komput', 'tip', 'mlm', 'gk', 'ya', 'menjebol', 'softwar', 'bjorka', 'jgn', 'mimpi', 'deh']"
setelah sosmed buming polisi konoha ketahuaj banyak gak bergunanyaa,"['setelah', 'sosmed', 'buming', 'polisi', 'konoha', 'ketahuaj', 'banyak', 'gak', 'bergunanyaa']","['setelah', 'sosm', 'bume', 'polisi', 'konoha', 'ketahuaj', 'banyak', 'gak', 'bergunanyaa']","['setelah', 'sosm', 'bume', 'polisi', 'konoha', 'ketahuaj', 'banyak', 'gak', 'bergunanyaa']","['sosm', 'bume', 'polisi', 'konoha', 'ketahuaj', 'gak', 'bergunanyaa']"
dan aneh nyarencana nya di kabupaten bekasi sudah ada beberapa desa yang akan pakai sistem evoting buat pemilihan kepala desa 2026 lucu aja sudab sekuat apa cyber scurity mereka,"['dan', 'aneh', 'nyarencana', 'nya', 'di', 'kabupaten', 'bekasi', 'sudah', 'ada', 'beberapa', 'desa', 'yang', 'akan', 'pakai', 'sistem', 'evoting', 'buat', 'pemilihan', 'kepala', 'desa', '2026', 'lucu', 'aja', 'sudab', 'sekuat', 'apa', 'cyber', 'scurity', 'mereka']","['dan', 'aneh', 'nyarencana', 'nya', 'di', 'kabupaten', 'bekasi', 'sudah', 'ada', 'beberapa', 'desa', 'yang', 'akan', 'pakai', 'sistem', 'evot', 'buat', 'pemilihan', 'kepala', 'desa', '2026', 'lucu', 'aja', 'sudab', 'sekuat', 'apa', 'cyber', 'scuriti', 'mereka']","['dan', 'aneh', 'nyarencana', 'nya', 'di', 'kabupaten', 'bekasi', 'sudah', 'ada', 'beberapa', 'desa', 'yang', 'akan', 'pakai', 'sistem', 'evot', 'buat', 'pemilihan', 'kepala', 'desa', '2026', 'lucu', 'aja', 'sudab', 'sekuat', 'apa', 'cyber', 'scuriti', 'mereka']","['aneh', 'nyarencana', 'nya', 'kabupaten', 'bekasi', 'desa', 'pakai', 'sistem', 'evot', 'pemilihan', 'kepala', 'desa', '2026', 'lucu', 'aja', 'sudab', 'sekuat', 'cyber', 'scuriti']"
bjorka nonton gak yaa,"['bjorka', 'nonton', 'gak', 'yaa']","['bjorka', 'nonton', 'gak', 'yaa']","['bjorka', 'nonton', 'gak', 'yaa']","['bjorka', 'nonton', 'gak', 'yaa']"
kenapa abang ini ga membantu pemerintah aja,"['kenapa', 'abang', 'ini', 'ga', 'membantu', 'pemerintah', 'aja']","['kenapa', 'abang', 'ini', 'ga', 'membantu', 'pemerintah', 'aja']","['kenapa', 'abang', 'ini', 'ga', 'membantu', 'pemerintah', 'aja']","['abang', 'ga', 'membantu', 'pemerintah', 'aja']"
yang di tangkap polisi bejorka eh ternyata berjirrka,"['yang', 'di', 'tangkap', 'polisi', 'bejorka', 'eh', 'ternyata', 'berjirrka']","['yang', 'di', 'tangkap', 'polisi', 'bejorka', 'eh', 'ternyata', 'berjirrka']","['yang', 'di', 'tangkap', 'polisi', 'bejorka', 'eh', 'ternyata', 'berjirrka']","['tangkap', 'polisi', 'bejorka', 'eh', 'berjirrka']"
bjorka itu sudah seperti anonymous gak sembarang ketangkep,"['bjorka', 'itu', 'sudah', 'seperti', 'anonymous', 'gak', 'sembarang', 'ketangkep']","['bjorka', 'itu', 'sudah', 'seperti', 'anonym', 'gak', 'sembarang', 'ketangkep']","['bjorka', 'itu', 'sudah', 'seperti', 'anonym', 'gak', 'sembarang', 'ketangkep']","['bjorka', 'anonym', 'gak', 'sembarang', 'ketangkep']"
jago2 hacker kelas dunia banyak dr indo kerennn dehhh,"['jago2', 'hacker', 'kelas', 'dunia', 'banyak', 'dr', 'indo', 'kerennn', 'dehhh']","['jago2', 'hacker', 'kela', 'dunia', 'banyak', 'dr', 'indo', 'kerennn', 'dehhh']","['jago2', 'hacker', 'kela', 'dunia', 'banyak', 'dr', 'indo', 'kerennn', 'dehhh']","['jago2', 'hacker', 'kela', 'dunia', 'dr', 'indo', 'kerennn', 'dehhh']"
